y,ycens,y2
-0.6264538107423324,none,-0.6264538107423324
0,interval,0.5
-0.8356286124100472,none,-0.8356286124100472
1,right,1
0,interval,0.5
-0.8204683841180153,none,-0.8204683841180153
0,interval,0.5
0.7383247051292173,none,0.7383247051292173
0.5757813516534923,none,0.5757813516534923
-0.305388387156356,none,-0.305388387156356
1,right,1
0,interval,0.5
-0.6212405805418038,none,-0.6212405805418038
-1,left,-1
1,right,1
-0.04493360901523085,none,-0.04493360901523085
-0.016190263098946087,none,-0.016190263098946087
0.9438362106852992,none,0.9438362106852992
0.8212211950980886,none,0.8212211950980886
0.5939013212175088,none,0.5939013212175088
0.9189773716082182,none,0.9189773716082182
0.7821363007310671,none,0.7821363007310671
0,interval,0.5
-1,left,-1
0.6198257478947102,none,0.6198257478947102
-0.056128739529000785,none,-0.056128739529000785
-0.1557955067053293,none,-0.1557955067053293
-1,left,-1
-0.47815005510862035,none,-0.47815005510862035
0,interval,0.5
1,right,1
-0.10278772734299552,none,-0.10278772734299552
0,interval,0.5
-0.05380504058290512,none,-0.05380504058290512
-1,left,-1
-0.41499456329967976,none,-0.41499456329967976
-0.3942899537103493,none,-0.3942899537103493
-0.05931339671118566,none,-0.05931339671118566
1,right,1
0.7631757484575442,none,0.7631757484575442
-0.1645235962535869,none,-0.1645235962535869
-0.25336168013650756,none,-0.25336168013650756
0.6969633754047374,none,0.6969633754047374
0.5566631986736573,none,0.5566631986736573
-0.6887556945495199,none,-0.6887556945495199
-0.7074951569621196,none,-0.7074951569621196
0,interval,0.5
0.7685329245154158,none,0.7685329245154158
-0.11234621215022805,none,-0.11234621215022805
0.8811077264542148,none,0.8811077264542148
0,interval,0.5
-0.6120263932507712,none,-0.6120263932507712
0,interval,0.5
-1,left,-1
1,right,1
1,right,1
-0.36722147646650904,none,-0.36722147646650904
-1,left,-1
0.5697196274424129,none,0.5697196274424129
-0.13505460388082435,none,-0.13505460388082435
1,right,1
-0.039240002733169244,none,-0.039240002733169244
0.6897393624507767,none,0.6897393624507767
0,interval,0.5
-0.7432732088824053,none,-0.7432732088824053
0,interval,0.5
-1,left,-1
1,right,1
0,interval,0.5
1,right,1
0,interval,0.5
-0.7099464309218145,none,-0.7099464309218145
0.6107263534890549,none,0.6107263534890549
-0.9340976316442515,none,-0.9340976316442515
-1,left,-1
0,interval,0.5
-0.443291873218433,none,-0.443291873218433
0,interval,0.5
0,interval,0.5
-0.5895209461880719,none,-0.5895209461880719
-0.5686687328185019,none,-0.5686687328185019
-0.13517861512383206,none,-0.13517861512383206
1,right,1
-1,left,-1
0.5939461876284216,none,0.5939461876284216
0,interval,0.5
1,right,1
-0.30418392363430063,none,-0.30418392363430063
0,interval,0.5
0,interval,0.5
-0.5425200309916504,none,-0.5425200309916504
1,right,1
1,right,1
0.7002136495149982,none,0.7002136495149982
1,right,1
0.5584864255653039,none,0.5584864255653039
-1,left,-1
-0.5732654142368863,none,-0.5732654142368863
-1,left,-1
-0.4734006364393116,none,-0.4734006364393116
