# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1e3f34120881_model
# start_datetime = 2023-06-14 15:09:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/standata-1e3f22e6d60e.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/model_1b356bfbbe320425ea75164cb3772806-202306141209-1-12dd5f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpppH5Sj/model_1b356bfbbe320425ea75164cb3772806-profile-202306141209-1-940e17.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,sigma,nu,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.563974
# Diagonal elements of inverse mass matrix:
# 0.0971079, 0.0718836, 0.641673
-17.0915,0.966353,0.563974,2,7,0,17.3002,-0.142115,0.926536,48.9352,-8.85499,-0.142115
-16.0684,1,0.563974,2,3,0,17.3624,0.18548,0.871664,17.6153,-6.7153,0.18548
-16.3734,0.985378,0.563974,3,7,0,16.6407,0.0342935,0.998753,31.2522,-7.53601,0.0342935
-17.4482,0.955688,0.563974,3,7,0,18.0727,0.389025,0.89956,8.41801,-6.53847,0.389025
-16.3826,0.993507,0.563974,2,7,0,17.6281,-0.158267,0.873921,36.2817,-7.88067,-0.158267
-18.7123,0.76464,0.563974,3,7,0,19.2702,0.166615,0.555553,3.12951,-6.94832,0.166615
-19.3584,0.93385,0.563974,2,7,0,20.5648,0.148435,0.705656,2.45311,-7.14452,0.148435
-16.6767,0.938202,0.563974,3,7,0,21.8311,-0.203435,0.678761,33.259,-7.63867,-0.203435
-19.2617,0.72409,0.563974,3,7,0,20.5842,0.329978,1.16253,4.66721,-6.80715,0.329978
-16.8585,0.997313,0.563974,2,3,0,19.5994,0.318278,0.964298,12.5654,-6.56413,0.318278
-18.2105,0.971075,0.563974,2,7,0,18.6603,0.488601,1.233,34.1121,-7.78297,0.488601
-16.1562,0.959668,0.563974,3,7,0,19.3331,-0.0161419,0.770893,36.7494,-7.88555,-0.0161419
-17.3138,0.870444,0.563974,2,3,0,18.3649,-0.16719,0.584597,32.256,-7.55286,-0.16719
-16.0008,1,0.563974,2,3,0,17.4111,0.102718,0.828977,30.5668,-7.4546,0.102718
