# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1aa937a9e322_model
# start_datetime = 2023-06-14 20:12:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/standata-1aa96d3f9593.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-202306141712-1-502d3c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-profile-202306141712-1-1aace7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0601976
# Diagonal elements of inverse mass matrix:
# 0.00294254, 12.3806, 0.914502, 0.324156, 0.127577, 0.115577, 0.346246, 0.512978, 0.690975, 0.996652, 0.107536, 0.0611637, 0.116957, 0.272375, 0.276801, 0.569864, 0.530634, 0.779439, 0.676932, 0.229967, 0.288628, 0.0150888, 0.229206
-193.318,0.964241,0.0601976,5,63,0,200.869,-0.149355,-8.78407,0.0231135,-0.864834,-0.784721,-0.877259,0.561019,-1.19631,-0.427588,0.708797,4.72372,-0.639568,1.46641,0.195589,-2.15908,-1.2889,1.22931,1.29736,-1.10981,0.0605965,0.220966,0.350221,2.96896,0.109182,-4.08523,-3.7068,-4.14392,2.6501,-5.65102,-2.01981,3.34816,-0.0387556,0.0888594,0.011852,-0.130833,-0.0781031,0.074492,0.0786154,-0.0672507,-10.98,-0.149355
-194.8,0.998912,0.0601976,6,63,0,205.094,-0.158753,-7.91612,-0.287353,-0.957666,-0.767017,-0.897493,0.632505,-1.5058,-0.924313,0.593909,4.17947,-0.712151,1.5925,0.103198,-2.28337,-1.71544,1.29739,1.18032,-1.00609,0.0504969,0.208511,0.358938,2.77539,-1.20098,-4.00253,-3.20572,-3.75104,2.64353,-6.29342,-3.86313,2.48222,-0.0359614,0.0804165,0.00521118,-0.115303,-0.0866245,0.0655144,0.0596027,-0.0508045,-10.7774,-0.158753
-193.831,0.880377,0.0601976,6,63,0,202.302,-0.120404,-8.38335,0.363469,-0.676948,-0.488665,-0.591983,0.283793,-1.22156,-0.457913,0.434811,6.76382,-0.388544,0.872554,2.35429,0.276353,2.35527,0.696457,-0.664895,0.783872,0.082202,0.295053,0.372723,2.82747,2.45844,-4.57876,-3.30525,-4.00407,1.91953,-8.26241,-3.09724,2.94098,-0.0319391,0.0717257,0.193528,0.0227168,0.193608,0.0572501,-0.0546557,0.0644359,-11.9202,-0.120404
-190.442,0.999268,0.0601976,6,127,0,204.175,-0.117626,-10.0379,0.276295,-1.63539,-1.70158,-1.21658,1.16508,-1.1228,-0.438549,0.177532,2.16282,-0.65731,1.00244,1.23824,-1.50117,-0.406681,0.954441,-0.51487,-1.13158,0.104295,0.302535,0.371054,2.21237,0.597576,-3.53706,-3.68021,-2.63124,2.51987,-2.42842,-0.948502,0.38397,-0.0685541,0.104549,0.129142,-0.156565,-0.0424148,0.0995433,-0.0536983,-0.118018,-10.0789,-0.117626
-191.385,0.983902,0.0601976,6,127,0,200.286,-0.202915,-3.96338,-0.116173,-1.83488,-0.538777,-1.31112,1.0471,-0.897238,-0.367284,-0.160524,3.60288,-0.459287,0.84888,0.582515,-1.41873,1.17377,1.47381,-0.907796,0.899358,0.111326,0.220794,0.333972,2.30211,-0.418558,-6.61084,-1.94115,-4.72379,3.77258,-3.23264,-1.32328,-0.57835,-0.0511307,0.0945028,0.0648493,-0.157943,0.130672,0.164074,-0.101062,0.100122,-10.6515,-0.202915
-190.082,0.813637,0.0601976,6,63,0,199.53,-0.181463,-4.43859,0.00287763,-1.9118,-0.615108,-1.24398,1.01564,-0.668688,-0.425251,0.444459,3.62853,-0.504131,0.812369,0.615308,-1.30369,1.29582,1.31452,-1.18455,1.01277,0.0972765,0.220204,0.347192,2.08853,0.0104416,-6.93701,-2.23194,-4.51381,3.68529,-2.42635,-1.54304,1.61273,-0.0490401,0.0790244,0.059855,-0.126819,0.126053,0.127872,-0.115229,0.0985192,-10.7399,-0.181463
-187.877,0.876944,0.0601976,6,63,0,197.582,-0.14789,-8.86267,0.0415344,-1.40785,-0.992335,-0.82211,0.430686,-1.16019,-0.189282,-1.02272,2.64887,-0.39672,0.777933,1.2383,-0.494463,-1.45642,0.222825,0.880527,0.0035211,0.130862,0.348547,0.324313,2.01649,0.110019,-3.7292,-2.62857,-2.17767,1.14083,-3.07321,-0.501384,-2.70905,-0.0519156,0.101802,0.162046,-0.0647064,-0.19059,0.0291594,0.115228,0.000460779,-10.3391,-0.14789
-188.753,0.937163,0.0601976,6,63,0,199.23,-0.164955,-6.26927,0.0708067,-0.803908,-1.09527,-0.448579,0.93653,-2.03876,0.608653,0.430186,1.90428,-0.286276,0.630337,0.131911,-0.801463,0.202327,1.10746,-0.15086,-0.23079,0.143901,0.374949,0.348478,2.1693,0.134836,-1.53087,-2.0857,-0.854221,1.78342,-3.88237,1.15905,0.819197,-0.0411953,0.0907058,0.0189821,-0.115331,0.0291149,0.159364,-0.0217088,-0.0332108,-10.0011,-0.164955
