# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1aa937a9e322_model
# start_datetime = 2023-06-14 20:12:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/standata-1aa96d3f9593.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-202306141712-3-502d3c.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpLONWRn/model_363cd2b8b5b24abb691f84f4f79ef391-profile-202306141712-3-1aace7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0448493
# Diagonal elements of inverse mass matrix:
# 0.00319644, 12.451, 1.03256, 0.360273, 0.187028, 0.147612, 0.345215, 0.514493, 0.798403, 0.727563, 0.140468, 0.0819042, 0.159118, 0.323224, 0.264165, 0.511924, 0.441222, 0.807933, 0.658663, 0.251041, 0.2528, 0.0154136, 0.227859
-192.457,0.998401,0.0448493,6,127,0,203.729,-0.148172,-13.7328,1.23209,-0.516951,-1.32418,-0.803365,0.175374,-2.27626,-0.712866,0.513918,3.23919,-0.65701,1.40194,2.1475,-1.29179,1.67965,0.899506,0.094925,0.243049,0.0739909,0.431075,0.367902,2.59311,3.99097,-1.6745,-4.28927,-2.60225,0.56807,-7.37325,-2.30911,1.66468,-0.0486128,0.103731,0.158895,-0.0955804,0.124279,0.0665552,0.00702359,0.0179834,-10.4003,-0.148172
-196.287,0.941845,0.0448493,6,63,0,208.16,-0.148518,-8.67231,0.785936,-0.830262,-1.05515,-0.559392,0.678653,-0.530475,-0.567288,2.02248,2.62362,-0.313098,0.735125,1.3283,-1.29427,0.556427,0.023478,1.47857,1.32375,0.119101,0.29753,0.515379,5.35468,2.062,-2.17829,-2.76831,-1.46763,1.78053,-1.39177,-1.48835,5.30622,-0.0372901,0.0875538,0.158202,-0.154148,0.0662708,0.00279624,0.176099,0.15766,-9.70259,-0.148518
-194.542,0.995641,0.0448493,7,127,0,206.922,-0.159173,-13.5286,1.18442,-0.734177,-1.02621,-1.12648,0.75024,-1.42677,-1.53655,2.30172,4.78808,-0.220569,0.41422,0.85398,-0.856277,2.09896,0.323409,0.77715,0.224961,0.244224,0.33284,0.44022,4.239,5.67108,-3.5153,-4.91359,-5.39366,3.59221,-6.83148,-7.35713,11.0208,-0.0538682,0.101163,0.208563,-0.209124,0.512616,0.0789845,0.189799,0.0549408,-10.7939,-0.159173
-193.452,0.968085,0.0448493,6,63,0,211.353,-0.0893694,-11.2738,-0.382288,-0.936771,-2.22562,-0.246197,-0.726826,-1.64946,-0.634562,0.165981,1.36545,-0.481306,1.13667,0.573982,-0.214286,0.852938,0.996754,-0.0355905,-0.480001,0.0958689,0.436196,0.427305,3.08199,-0.521996,-1.27912,-3.03898,-0.336171,-0.992448,-2.25226,-0.866466,0.22664,-0.0461423,0.108972,0.0550271,-0.0205434,0.0817702,0.0955578,-0.00341202,-0.0460172,-9.58365,-0.0893694
-197.135,0.995274,0.0448493,6,127,0,203.762,-0.158332,-8.32907,0.45195,-1.21658,-0.546277,-1.05671,0.54435,-1.45186,-2.24601,0.924302,3.87519,-0.706835,0.931232,2.29923,-2.29734,1.46372,0.806041,1.21821,-0.665029,0.0825216,0.164226,0.323002,2.17446,1.7514,-4.7145,-2.11693,-4.09497,2.10946,-5.62625,-8.70373,3.58185,-0.0583292,0.0768468,0.189737,-0.18958,0.120788,0.0665158,0.100528,-0.0548793,-10.819,-0.158332
-194.283,0.997936,0.0448493,6,127,0,205.935,-0.0984961,-12.0667,0.852517,-1.11596,-1.88927,-0.641603,1.01399,-1.48555,-2.01985,0.693967,2.01305,-0.512162,1.08584,2.3795,-1.12067,1.47928,2.13951,0.222277,0.316976,0.0744004,0.207662,0.336076,2.07219,1.71616,-2.24649,-3.8032,-1.29158,2.04122,-2.99049,-4.06605,1.39699,-0.0381051,0.0807868,0.177035,-0.083378,0.110059,0.159181,0.0165375,0.0235831,-10.0734,-0.0984961
