# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_004775db0565465c30b91127bf1a0445_model
# start_datetime = 2024-02-07 14:47:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/standata-9b73788d63f.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-202402071047-1-8ee7ee.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-profile-202402071047-1-5d989f.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = --name=model_004775db0565465c30b91127bf1a0445_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,zerr_y.1,zerr_y.2,zerr_y.3,zerr_y.4,zerr_y.5,zerr_y.6,zerr_y.7,zerr_y.8,zerr_y.9,zerr_y.10,zerr_y.11,zerr_y.12,zerr_y.13,zerr_y.14,zerr_y.15,zerr_y.16,zerr_y.17,zerr_y.18,zerr_y.19,zerr_y.20,zerr_y.21,zerr_y.22,zerr_y.23,zerr_y.24,zerr_y.25,zerr_y.26,zerr_y.27,zerr_y.28,zerr_y.29,zerr_y.30,zerr_y.31,zerr_y.32,zerr_y.33,zerr_y.34,zerr_y.35,zerr_y.36,zerr_y.37,zerr_y.38,zerr_y.39,zerr_y.40,zerr_y.41,zerr_y.42,zerr_y.43,zerr_y.44,zerr_y.45,zerr_y.46,zerr_y.47,zerr_y.48,zerr_y.49,zerr_y.50,zerr_y.51,zerr_y.52,zerr_y.53,zerr_y.54,zerr_y.55,zerr_y.56,zerr_y.57,zerr_y.58,zerr_y.59,zerr_y.60,zerr_y.61,zerr_y.62,zerr_y.63,zerr_y.64,zerr_y.65,zerr_y.66,zerr_y.67,zerr_y.68,zerr_y.69,zerr_y.70,zerr_y.71,zerr_y.72,zerr_y.73,zerr_y.74,zerr_y.75,zerr_y.76,zerr_y.77,zerr_y.78,zerr_y.79,zerr_y.80,zerr_y.81,zerr_y.82,zerr_y.83,zerr_y.84,zerr_y.85,zerr_y.86,zerr_y.87,zerr_y.88,zerr_y.89,zerr_y.90,zerr_y.91,zerr_y.92,zerr_y.93,zerr_y.94,zerr_y.95,zerr_y.96,zerr_y.97,zerr_y.98,zerr_y.99,zerr_y.100,zerr_y.101,zerr_y.102,zerr_y.103,zerr_y.104,zerr_y.105,zerr_y.106,zerr_y.107,zerr_y.108,zerr_y.109,zerr_y.110,zerr_y.111,zerr_y.112,zerr_y.113,zerr_y.114,zerr_y.115,zerr_y.116,zerr_y.117,zerr_y.118,zerr_y.119,zerr_y.120,sderr_y,ar_y.1,Ymi_x.1,Ymi_x.2,Ymi_x.3,Intercept_x,sigma_x,Ycens_x.1,Ycens_x.2,Ycens_x.3,Ycens_x.4,Ycens_x.5,Ycens_x.6,Ycens_x.7,Ycens_x.8,Ycens_x.9,Ycens_x.10,Ycens_x.11,Ycens_x.12,Ycens_x.13,Ycens_x.14,Ycens_x.15,Ycens_x.16,Ycens_x.17,err_y.1,err_y.2,err_y.3,err_y.4,err_y.5,err_y.6,err_y.7,err_y.8,err_y.9,err_y.10,err_y.11,err_y.12,err_y.13,err_y.14,err_y.15,err_y.16,err_y.17,err_y.18,err_y.19,err_y.20,err_y.21,err_y.22,err_y.23,err_y.24,err_y.25,err_y.26,err_y.27,err_y.28,err_y.29,err_y.30,err_y.31,err_y.32,err_y.33,err_y.34,err_y.35,err_y.36,err_y.37,err_y.38,err_y.39,err_y.40,err_y.41,err_y.42,err_y.43,err_y.44,err_y.45,err_y.46,err_y.47,err_y.48,err_y.49,err_y.50,err_y.51,err_y.52,err_y.53,err_y.54,err_y.55,err_y.56,err_y.57,err_y.58,err_y.59,err_y.60,err_y.61,err_y.62,err_y.63,err_y.64,err_y.65,err_y.66,err_y.67,err_y.68,err_y.69,err_y.70,err_y.71,err_y.72,err_y.73,err_y.74,err_y.75,err_y.76,err_y.77,err_y.78,err_y.79,err_y.80,err_y.81,err_y.82,err_y.83,err_y.84,err_y.85,err_y.86,err_y.87,err_y.88,err_y.89,err_y.90,err_y.91,err_y.92,err_y.93,err_y.94,err_y.95,err_y.96,err_y.97,err_y.98,err_y.99,err_y.100,err_y.101,err_y.102,err_y.103,err_y.104,err_y.105,err_y.106,err_y.107,err_y.108,err_y.109,err_y.110,err_y.111,err_y.112,err_y.113,err_y.114,err_y.115,err_y.116,err_y.117,err_y.118,err_y.119,err_y.120,lprior,b_y_Intercept,b_x_Intercept
# Adaptation terminated
# Step size = 0.235484
# Diagonal elements of inverse mass matrix:
# 0.107626, 0.218513, 0.790712, 0.800338, 0.764763, 0.748717, 0.817711, 0.861181, 0.681765, 0.85472, 0.803866, 0.846825, 0.868391, 0.669523, 0.908489, 0.92789, 0.583509, 0.87355, 0.721307, 0.709645, 0.72015, 0.69796, 0.861929, 0.785347, 0.768004, 0.631844, 0.870058, 0.764114, 0.828647, 0.751687, 0.672885, 0.800277, 0.782644, 0.80946, 0.916748, 0.621619, 0.761048, 0.780669, 0.811746, 0.789589, 0.832172, 0.766269, 0.744215, 0.754482, 0.997972, 0.805356, 0.738473, 0.877162, 0.820122, 0.886355, 0.77765, 0.888794, 0.836837, 0.841843, 0.870741, 0.725911, 0.867816, 0.809851, 0.87208, 0.849477, 0.936793, 0.804795, 0.77164, 0.645361, 0.807165, 0.896291, 0.758009, 0.755812, 0.797545, 0.763632, 0.87989, 0.633192, 1.05689, 0.735999, 0.909815, 0.839296, 0.809847, 0.840215, 0.696121, 1.1111, 0.937977, 0.830481, 0.725128, 0.746532, 0.805313, 0.934919, 0.829486, 0.765792, 0.806174, 0.847589, 0.776799, 0.799714, 0.620606, 0.796574, 0.687872, 0.724291, 0.798476, 0.744416, 0.83777, 0.817742, 0.947304, 0.872761, 0.685909, 0.880949, 0.822753, 0.694542, 0.951992, 0.809023, 0.872985, 0.773772, 0.687584, 0.729688, 0.83663, 0.902659, 0.789749, 0.811662, 0.894395, 0.739912, 0.648471, 0.890331, 0.828997, 0.694066, 0.306864, 2.46016, 0.758426, 0.790355, 0.901678, 0.00856917, 0.00528244, 1.78902, 1.99067, 1.43391, 1.3484, 1.93403, 1.30576, 1.58071, 1.27349, 1.23474, 1.28141, 1.50525, 1.38177, 3.56746, 1.52546, 1.24218, 0.943912, 1.26686
-402.805,0.832302,0.235484,4,15,0,456.772,0.717707,2.58513,-0.257618,0.971257,-0.0846323,-1.28329,0.887003,0.867134,0.091571,-0.827469,-0.582837,-0.136557,0.229765,-0.449478,1.55974,2.29392,-0.487928,0.400848,1.54964,-0.00327688,-0.706207,-0.513142,-0.853987,-0.274601,0.394977,-1.04676,-0.395945,1.79341,0.562751,0.981488,-0.316045,1.07897,0.709711,0.0513016,2.42048,0.925938,1.45559,0.159559,2.41037,0.27048,-0.0840408,0.432692,-0.341572,-0.479285,-0.486183,-0.446592,0.407429,-0.675931,0.00928237,-1.18294,0.229465,-1.91497,-0.189927,-2.18198,-1.10859,-0.33559,-2.0568,-0.103156,-1.45322,1.2289,-0.258391,-0.548036,1.46771,0.617364,-1.81111,2.55811,1.17156,-0.500906,0.0197476,-0.116971,0.873504,0.0107883,0.764667,-0.161631,2.613,-0.0652468,0.885092,0.302758,-0.559667,0.172021,-0.16409,0.807183,-0.439279,-0.676298,0.532224,0.576412,0.151477,-0.745042,-0.62677,-0.441971,0.640453,-0.179767,-0.977516,-0.636329,0.0104227,1.62798,0.415458,1.30409,0.993992,-0.351562,1.14955,-0.0842364,-0.15735,0.146766,0.479043,-1.88882,-1.91156,-0.473113,0.37077,0.784155,-0.929511,-1.39401,-0.0540222,-2.33445,-1.29856,-1.68317,1.54492,-1.35556,-0.315543,-1.02134,1.14264,0.190016,2.97176,0.484195,-1.67654,-0.210584,0.239343,0.152227,1.07635,-1.238,-1.03488,-1.83209,-2.50276,-1.17108,-1.19198,-1.09467,-1.16516,-2.60345,-1.39949,-1.67549,-1.10708,-1.58786,-1.8413,-1.25822,-1.03683,-1.48381,-0.76558,2.88634,-0.251507,-3.81363,2.63596,2.57692,0.272127,-2.45904,-1.73205,-0.405814,0.682806,-1.33574,4.63516,6.81698,-1.45001,1.19123,4.60515,-0.0097381,-2.09868,-1.52494,-2.53784,-0.81605,1.17378,-3.11072,-1.17665,5.32957,1.67236,2.91675,-0.93921,3.20643,2.10909,0.152456,7.19309,2.75167,4.32566,0.474172,7.16306,0.803801,-0.249749,1.28586,-1.01507,-1.42432,-1.44482,-1.32716,1.21078,-2.00871,0.027585,-3.51542,0.681914,-5.69084,-0.564417,-6.48432,-3.29447,-0.997294,-6.1123,-0.306556,-4.31861,3.65199,-0.767876,-1.62863,4.36169,1.83466,-5.38219,7.6021,3.4816,-1.48857,0.0586852,-0.347609,2.59585,0.0320603,2.27241,-0.480329,7.76521,-0.193898,2.63028,0.899725,-1.6632,0.511205,-0.487636,2.39875,-1.30543,-2.0098,1.58164,1.71296,0.450154,-2.21409,-1.86261,-1.31343,1.90327,-0.534223,-2.90494,-1.89102,0.0309738,4.83797,1.23464,3.87546,2.95391,-1.04476,3.41619,-0.25033,-0.467608,0.436153,1.4236,-5.61313,-5.68071,-1.40598,1.10184,2.33032,-2.76229,-4.14267,-0.160541,-6.93742,-3.85902,-5.00199,4.59114,-4.0284,-0.937719,-3.03518,3.39565,0.564682,-9.83341,0.717707,0.152227
-397.864,0.915664,0.235484,4,15,0,470.21,0.101997,1.03882,0.052595,0.63755,-0.730876,-0.249391,1.95407,0.196043,0.540906,-0.359645,0.448596,0.860723,-0.0958382,-0.813977,2.01081,0.741677,-0.657769,0.357041,-0.0805974,0.654682,0.57826,0.10385,0.15209,-0.336466,0.794725,-0.472218,-1.15286,-1.10417,0.199383,1.0556,0.0474549,-0.57189,0.289678,-0.0879358,0.428973,-0.905842,-0.108856,-0.309139,0.167266,-0.0317559,0.134645,-1.19353,0.245192,-1.23464,-0.0983461,-0.691422,1.14515,-1.10728,-0.608146,-0.484566,-2.43358,-0.145363,-0.846997,1.1061,-1.39558,-0.738952,0.205516,0.45171,-1.83088,-0.411935,-1.51382,1.26493,-0.48681,0.421534,-0.172362,-0.112628,0.450781,0.433326,1.17936,-0.145624,0.645171,0.988401,0.561585,1.89145,1.01418,-1.33246,0.0373358,0.529802,0.0964337,0.36115,0.684564,0.37144,0.183188,0.336059,-2.24479,0.120012,0.524835,-1.5436,-1.02227,-0.160246,1.16756,0.944654,-0.333976,0.351652,0.936516,0.0150267,-0.368719,-0.407155,-0.028902,-0.203184,-1.03666,-0.0416393,2.34699,-1.38606,-0.880592,0.0331204,-0.998114,0.548637,1.55546,-0.386388,-1.375,-0.997958,-0.100029,-1.57683,-2.04262,-0.184357,-0.0330817,-0.849787,-1.14836,0.200051,0.00035648,0.599113,1.48921,0.696668,0.291381,-0.990059,-0.775788,0.00580215,1.02589,-1.85255,-1.12852,-1.9194,-1.21312,-1.42307,-1.40247,-2.12942,-1.14705,-1.47087,-1.68708,-1.89918,-2.68411,-1.61926,-1.63869,-2.80193,-1.16173,-2.09657,0.0783252,0.949447,-1.08843,-0.371396,2.91003,0.29195,0.805524,-0.535588,0.668056,1.2818,-0.142724,-1.21218,2.99453,1.10451,-0.979558,0.53171,-0.120027,0.974962,0.861152,0.154655,0.226495,-0.501069,1.18351,-0.703233,-1.71685,-1.64435,0.296924,1.57202,0.0706704,-0.851666,0.431392,-0.130955,0.638832,-1.34899,-0.16211,-0.460374,0.249095,-0.0472913,0.200515,-1.77742,0.365143,-1.83864,-0.146458,-1.02968,1.70538,-1.64898,-0.905659,-0.721622,-3.62412,-0.216476,-1.26136,1.64721,-2.07832,-1.10046,0.306057,0.672693,-2.72657,-0.613459,-2.2544,1.88376,-0.724964,0.627753,-0.256683,-0.167727,0.671308,0.645316,1.75631,-0.216865,0.960796,1.47194,0.83632,2.81678,1.51033,-1.98432,0.055601,0.788988,0.14361,0.537829,1.01946,0.553154,0.272806,0.500464,-3.34296,0.178724,0.781591,-2.29875,-1.52237,-0.238641,1.73875,1.40679,-0.497362,0.523685,1.39467,0.022378,-0.549101,-0.60634,-0.0430413,-0.302584,-1.5438,-0.0620098,3.49517,-2.06414,-1.31139,0.0493233,-1.4864,0.817037,2.31642,-0.575415,-2.04767,-1.48617,-0.148964,-2.34823,-3.0419,-0.274547,-0.0492657,-1.26551,-1.71015,0.297918,0.000530875,0.892207,-6.4827,0.101997,0.00580215
-409.331,0.696098,0.235484,4,15,0,470.028,0.495804,1.94293,-0.799068,0.633895,-0.352377,-1.19058,-0.756085,0.710389,0.325259,-2.83876,-0.0419622,-1.26457,0.471401,-0.6986,-1.41684,-0.227416,2.00863,0.0490455,1.51306,-0.793312,-0.718862,-1.28346,-1.91991,-0.159017,-0.636293,-1.384,1.01176,1.38248,0.683333,-0.793042,-0.887563,1.37389,0.295674,0.997231,0.826224,2.58227,0.891603,0.85025,0.615659,-0.142872,-0.90754,2.41802,-0.990926,-0.790723,-0.501935,-0.126965,0.152761,-1.00155,0.561262,-0.463723,0.746492,-0.830384,-0.625785,-1.22495,0.139687,-0.303424,-1.76641,-1.63523,0.878648,0.240916,0.272694,-0.856406,0.960817,-0.120816,-0.279636,0.209076,0.993791,-1.39015,2.11318,0.235836,0.513438,-0.634694,0.349541,-0.393517,0.499599,0.229447,1.02633,-0.0255103,1.077,-0.0666719,0.177853,1.26662,-0.87804,-0.971078,1.67199,0.195621,-1.0396,-0.27704,0.172322,0.96547,0.071411,-1.69049,0.694515,0.148343,-0.73903,1.59775,1.44175,0.659393,0.602115,2.17125,0.0683319,0.203665,-1.21976,-0.747537,0.301074,-1.37474,-0.284906,-0.661813,0.0645726,0.0906605,-1.35692,0.254242,-1.58031,0.111865,-0.397894,-1.79288,-2.10984,-1.40519,-0.584695,-0.832592,-0.182123,0.209432,1.2972,0.848513,0.00124589,-0.299544,0.0768054,0.125573,0.899643,-1.08214,-1.51253,-1.47375,-2.30273,-1.32779,-1.36285,-1.38029,-2.20915,-2.41642,-1.00697,-1.28463,-1.07372,-1.47912,-1.19311,-1.07426,-1.7943,-1.23435,-1.03655,0.822289,-0.457103,-1.54443,-0.980793,0.921516,0.421926,-3.68244,-0.0544334,-1.64041,0.611502,-0.906224,-1.83792,-0.295004,2.60559,0.0636218,1.96274,-1.02908,-0.932508,-1.6649,-2.4905,-0.206277,-0.825399,-1.79532,1.31245,1.79335,0.886419,-1.02873,-1.15135,1.78221,0.383549,1.29361,1.07178,3.34972,1.15659,1.10294,0.798632,-0.185333,-1.17726,3.13665,-1.28543,-1.02573,-0.65111,-0.164699,0.198162,-1.29922,0.728068,-0.601541,0.968349,-1.07717,-0.811767,-1.589,0.181202,-0.393601,-2.29138,-2.12122,1.13978,0.312516,0.353739,-1.11093,1.24637,-0.156722,-0.362744,0.271214,1.28915,-1.8033,2.74121,0.305927,0.666032,-0.823325,0.453424,-0.51047,0.648079,0.297639,1.33136,-0.033092,1.39708,-0.0864868,0.230711,1.64306,-1.13899,-1.25968,2.16891,0.253759,-1.34857,-0.359376,0.223536,1.25241,0.0926343,-2.19291,0.900925,0.192431,-0.958669,2.0726,1.87024,0.855364,0.781064,2.81655,0.0886401,0.264195,-1.58227,-0.969705,0.390553,-1.78332,-0.369579,-0.858503,0.0837635,0.117605,-1.76019,0.329803,-2.04997,0.145111,-0.516148,-2.32572,-2.73689,-1.82281,-0.758466,-1.08004,-0.23625,0.271675,-6.25594,0.495804,0.125573
-409.275,0.944539,0.235484,4,15,0,476.94,-0.192044,1.91846,0.369994,0.0132437,-1.6949,-0.184264,1.60508,0.402968,0.280361,1.63685,-1.00541,1.75858,-0.865976,-0.49846,2.40035,1.27971,-1.21637,1.23084,0.721187,1.77205,1.4639,0.119935,-0.527616,-0.872646,-0.886509,0.336014,-1.24393,-0.930759,-0.616262,1.42054,0.796696,-0.163631,0.315814,-0.155749,0.201488,-0.989598,0.649839,-0.113719,0.257136,0.138703,0.792302,-0.862781,0.31322,-0.964664,0.078649,1.00514,0.161363,0.0155691,0.518694,-0.28786,-1.56575,-0.286028,-0.270488,0.115258,-1.35,-1.09343,0.26862,0.748081,-0.806456,1.17066,-0.760538,0.794418,-0.00970001,0.493613,-0.108231,0.755626,0.037792,1.49121,-1.44646,0.74241,0.300648,1.03193,0.263086,0.896036,0.067691,0.186464,0.384832,0.856139,0.15052,0.0771667,0.295269,-0.00220765,1.20026,-0.180619,-1.53464,0.236611,0.143754,-0.676441,-0.888483,0.109027,1.56804,1.37415,-0.403904,0.592313,1.85699,-0.859768,-0.0351303,-0.459267,0.260984,-1.32858,0.0511258,0.933739,1.8684,-1.25338,-1.56292,-0.139741,-0.645163,0.735031,1.59078,-0.952129,-0.381626,-1.81233,0.671852,-1.307,-2.04429,0.50271,0.678739,-1.12945,-1.41875,-0.592313,0.568439,0.695987,1.07899,0.600448,-0.694361,-0.208853,-0.0108573,0.0349919,0.95009,-1.31753,-2.32434,-1.61365,-1.18742,-1.22458,-1.614,-1.04661,-1.09276,-1.31407,-2.39612,-1.61958,-2.3889,-1.53425,-1.20406,-1.52476,-1.24363,-1.08738,0.399219,0.0142898,-1.82877,-0.198818,1.73186,0.434798,0.302506,1.76614,-1.08483,1.89749,-0.934378,-0.537833,2.58995,1.38079,-1.31244,1.32807,0.778152,1.91202,1.57953,0.129409,-0.569292,-0.941574,-0.956532,0.362555,-1.34218,-1.00428,-0.66494,1.53274,0.859626,-0.176556,0.34076,-0.168051,0.217403,-1.06776,0.701168,-0.122701,0.277446,0.149659,0.854884,-0.930931,0.337961,-1.04086,0.0848613,1.08454,0.174108,0.0167989,0.559665,-0.310597,-1.68943,-0.30862,-0.291853,0.124362,-1.45664,-1.1798,0.289838,0.807171,-0.870156,1.26313,-0.820611,0.857167,-0.0104662,0.532603,-0.11678,0.815311,0.0407771,1.609,-1.56071,0.801052,0.324396,1.11344,0.283867,0.966812,0.0730378,0.201192,0.415229,0.923764,0.162409,0.0832619,0.318591,-0.00238203,1.29507,-0.194886,-1.65586,0.255301,0.155108,-0.729872,-0.958662,0.117639,1.69189,1.48269,-0.435807,0.639098,2.00367,-0.927679,-0.0379052,-0.495543,0.281599,-1.43353,0.0551642,1.00749,2.01598,-1.35238,-1.68638,-0.150779,-0.696123,0.793089,1.71644,-1.02734,-0.41177,-1.95548,0.72492,-1.41023,-2.20577,0.542418,0.732351,-1.21866,-1.53082,-0.639098,0.613339,0.750961,-5.92878,-0.192044,0.0349919
-413.127,0.98459,0.235484,4,15,0,474.7,0.120536,0.988851,0.332355,0.293835,0.547867,0.405366,-0.828721,0.915729,0.0101005,-1.58777,-0.606495,-0.873892,0.553703,-0.0790828,-0.692318,-0.569795,0.886639,0.755401,-0.750805,-0.145321,-0.858307,-1.17756,0.0747071,-1.29692,0.238795,-0.864391,1.96258,1.40015,1.12063,-0.912563,-0.462633,0.823266,-0.030101,1.84449,1.34105,1.13125,0.0919351,1.51276,0.591474,-1.00001,-0.163982,1.47017,-1.20494,-0.33276,-1.40641,-0.23201,-0.0631624,-0.664898,0.3189,-0.717607,-0.411113,-0.459428,0.0656323,-0.634659,-0.00584982,-0.287239,-1.13257,-2.31501,1.12695,-2.56503,0.75126,-1.65943,1.92047,-1.10563,0.453963,0.751203,1.647,0.549433,1.40021,1.12512,0.674064,0.362761,0.258682,-0.580436,0.715518,-0.485303,0.576957,0.698161,-0.634146,0.52437,0.527107,1.44752,-0.756459,-0.972286,1.87465,0.387575,-2.25353,-0.650713,0.583004,0.560387,-0.310234,-0.988572,0.694528,0.462547,-0.505841,0.866431,1.50227,0.389915,-0.372284,2.13928,0.210486,-1.06642,-0.294824,-0.455906,1.26863,-0.778763,0.0726689,-1.10431,0.312377,0.288657,-0.308132,-0.0287128,-2.2208,-0.269589,-0.800953,-1.79615,-1.1732,-1.04192,0.913053,-0.480754,0.750054,0.0599105,1.15416,0.990489,0.528862,0.0567043,-0.259311,0.108718,0.94669,-1.21999,-1.17667,-1.0711,-1.6853,-1.68476,-1.59425,-2.79966,-1.39037,-1.82577,-1.01239,-1.368,-1.0887,-1.32161,-1.92404,-1.37746,-1.48024,-1.81657,0.383592,0.339134,0.632329,0.46786,-0.95648,1.0569,0.0116577,-1.83255,-0.699995,-1.00861,0.639064,-0.0912746,-0.799049,-0.657637,1.02333,0.871857,-0.866552,-0.167724,-0.990628,-1.3591,0.0862243,-1.49686,0.275608,-0.99765,2.26514,1.61601,1.29339,-1.05325,-0.533955,0.950185,-0.0347415,2.12885,1.54779,1.30565,0.106108,1.74597,0.682659,-1.15417,-0.189262,1.69682,-1.3907,-0.38406,-1.62323,-0.267778,-0.0728998,-0.767402,0.368063,-0.828236,-0.474493,-0.530256,0.0757505,-0.732501,-0.00675165,-0.331521,-1.30717,-2.67191,1.30069,-2.96047,0.867077,-1.91526,2.21654,-1.27608,0.523948,0.867012,1.9009,0.634136,1.61608,1.29858,0.777981,0.418687,0.298561,-0.669919,0.825825,-0.560119,0.665903,0.805793,-0.731909,0.60521,0.608368,1.67067,-0.873078,-1.12218,2.16366,0.447325,-2.60095,-0.75103,0.672883,0.646778,-0.358062,-1.14098,0.8016,0.533855,-0.583824,1,1.73387,0.450026,-0.429677,2.46908,0.242936,-1.23083,-0.340275,-0.52619,1.46421,-0.898821,0.0838718,-1.27455,0.360534,0.333158,-0.355635,-0.0331393,-2.56317,-0.31115,-0.924432,-2.07305,-1.35407,-1.20254,1.05381,-0.55487,0.865686,0.0691466,-6.12448,0.120536,0.108718
-413.684,0.968148,0.235484,4,15,0,490.129,0.228131,2.28542,0.380446,1.07291,-2.4076,-0.160241,2.10455,-0.901225,0.708471,-0.41463,0.596251,-1.49814,1.95742,-0.885175,0.453011,1.48076,-0.587899,0.894673,1.84901,-0.281137,0.237402,0.834357,-0.708172,0.324591,-0.346137,-0.772715,0.507855,-1.14368,1.25887,-0.982462,0.0583252,-0.154949,0.328131,0.0233014,-1.29194,1.0731,1.12782,0.691612,2.28106,-0.355216,-0.2937,0.531473,-1.43514,-1.76408,-0.0670372,0.643383,-0.102708,0.125686,-0.353183,0.223662,-0.263239,-0.253118,-1.70226,-1.11086,-0.452125,-2.96884,-0.339472,0.0362028,-0.842162,0.267924,-0.0352608,1.15443,-0.209397,1.53451,-0.606502,-0.106557,0.0822567,-0.291653,0.182265,-1.08497,1.08659,0.729295,0.653853,1.05711,-0.355625,-0.323952,2.38121,1.25284,-0.74354,0.154464,-0.553013,1.12117,0.513241,-0.241534,-2.04566,1.61176,0.73894,-1.58413,-1.26985,1.61044,1.6826,0.316318,0.717382,0.118072,1.25508,-0.262121,0.597961,-0.779337,0.0382335,-1.18989,-1.12035,1.84665,0.195234,-0.795597,-1.33556,-2.30686,-1.33667,1.60658,1.42654,-0.705127,-1.5718,-1.02282,-0.565035,-0.424665,-1.56275,-1.20482,0.13613,-0.966638,-0.587522,-1.97328,0.964648,-0.217225,1.6395,0.9998,-0.936661,0.475429,-0.837877,0.0283276,1.02923,-1.59334,-1.75045,-1.49681,-1.71361,-1.19989,-1.63862,-1.04417,-1.32359,-1.67104,-1.03689,-1.67512,-1.40223,-1.6409,-1.30137,-1.38065,-1.76582,-1.25752,0.623743,1.75904,-3.94727,-0.262717,3.45042,-1.47756,1.16154,-0.679787,0.977556,-2.4562,3.20919,-1.45125,0.742714,2.42771,-0.963863,1.46682,3.03146,-0.460926,0.389221,1.36793,-1.16105,0.532169,-0.567493,-1.26687,0.83263,-1.87507,2.06393,-1.61075,0.0956244,-0.25404,0.537973,0.0382028,-2.11814,1.75935,1.84906,1.1339,3.73981,-0.582378,-0.481523,0.871352,-2.35292,-2.89222,-0.109908,1.05483,-0.16839,0.206062,-0.579045,0.366695,-0.431581,-0.414988,-2.79087,-1.82127,-0.741261,-4.86742,-0.556566,0.0593546,-1.38073,0.439262,-0.0578103,1.89269,-0.343307,2.51584,-0.994362,-0.174701,0.13486,-0.478167,0.298825,-1.77881,1.78148,1.19568,1.072,1.73314,-0.583049,-0.53112,3.904,2.05403,-1.21904,0.253244,-0.906667,1.83816,0.84146,-0.395996,-3.35387,2.64249,1.2115,-2.59719,-2.08192,2.64033,2.75863,0.518605,1.17615,0.193579,2.05772,-0.429749,0.98036,-1.27773,0.062684,-1.95083,-1.83683,3.02759,0.320087,-1.30439,-2.18966,-3.78211,-2.19147,2.63399,2.33881,-1.15606,-2.57697,-1.67693,-0.926377,-0.696241,-2.56214,-1.97531,0.223186,-1.58481,-0.963244,-3.2352,1.58154,-0.356142,-6.8281,0.228131,0.0283276
