# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_004775db0565465c30b91127bf1a0445_model
# start_datetime = 2024-02-07 14:47:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/standata-9b73788d63f.json
# init = 2 (Default)
# random
#   seed = 2356
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-202402071047-4-8ee7ee.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpehMe5f/model_004775db0565465c30b91127bf1a0445-profile-202402071047-4-5d989f.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = --name=model_004775db0565465c30b91127bf1a0445_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept_y,bsp_y.1,zerr_y.1,zerr_y.2,zerr_y.3,zerr_y.4,zerr_y.5,zerr_y.6,zerr_y.7,zerr_y.8,zerr_y.9,zerr_y.10,zerr_y.11,zerr_y.12,zerr_y.13,zerr_y.14,zerr_y.15,zerr_y.16,zerr_y.17,zerr_y.18,zerr_y.19,zerr_y.20,zerr_y.21,zerr_y.22,zerr_y.23,zerr_y.24,zerr_y.25,zerr_y.26,zerr_y.27,zerr_y.28,zerr_y.29,zerr_y.30,zerr_y.31,zerr_y.32,zerr_y.33,zerr_y.34,zerr_y.35,zerr_y.36,zerr_y.37,zerr_y.38,zerr_y.39,zerr_y.40,zerr_y.41,zerr_y.42,zerr_y.43,zerr_y.44,zerr_y.45,zerr_y.46,zerr_y.47,zerr_y.48,zerr_y.49,zerr_y.50,zerr_y.51,zerr_y.52,zerr_y.53,zerr_y.54,zerr_y.55,zerr_y.56,zerr_y.57,zerr_y.58,zerr_y.59,zerr_y.60,zerr_y.61,zerr_y.62,zerr_y.63,zerr_y.64,zerr_y.65,zerr_y.66,zerr_y.67,zerr_y.68,zerr_y.69,zerr_y.70,zerr_y.71,zerr_y.72,zerr_y.73,zerr_y.74,zerr_y.75,zerr_y.76,zerr_y.77,zerr_y.78,zerr_y.79,zerr_y.80,zerr_y.81,zerr_y.82,zerr_y.83,zerr_y.84,zerr_y.85,zerr_y.86,zerr_y.87,zerr_y.88,zerr_y.89,zerr_y.90,zerr_y.91,zerr_y.92,zerr_y.93,zerr_y.94,zerr_y.95,zerr_y.96,zerr_y.97,zerr_y.98,zerr_y.99,zerr_y.100,zerr_y.101,zerr_y.102,zerr_y.103,zerr_y.104,zerr_y.105,zerr_y.106,zerr_y.107,zerr_y.108,zerr_y.109,zerr_y.110,zerr_y.111,zerr_y.112,zerr_y.113,zerr_y.114,zerr_y.115,zerr_y.116,zerr_y.117,zerr_y.118,zerr_y.119,zerr_y.120,sderr_y,ar_y.1,Ymi_x.1,Ymi_x.2,Ymi_x.3,Intercept_x,sigma_x,Ycens_x.1,Ycens_x.2,Ycens_x.3,Ycens_x.4,Ycens_x.5,Ycens_x.6,Ycens_x.7,Ycens_x.8,Ycens_x.9,Ycens_x.10,Ycens_x.11,Ycens_x.12,Ycens_x.13,Ycens_x.14,Ycens_x.15,Ycens_x.16,Ycens_x.17,err_y.1,err_y.2,err_y.3,err_y.4,err_y.5,err_y.6,err_y.7,err_y.8,err_y.9,err_y.10,err_y.11,err_y.12,err_y.13,err_y.14,err_y.15,err_y.16,err_y.17,err_y.18,err_y.19,err_y.20,err_y.21,err_y.22,err_y.23,err_y.24,err_y.25,err_y.26,err_y.27,err_y.28,err_y.29,err_y.30,err_y.31,err_y.32,err_y.33,err_y.34,err_y.35,err_y.36,err_y.37,err_y.38,err_y.39,err_y.40,err_y.41,err_y.42,err_y.43,err_y.44,err_y.45,err_y.46,err_y.47,err_y.48,err_y.49,err_y.50,err_y.51,err_y.52,err_y.53,err_y.54,err_y.55,err_y.56,err_y.57,err_y.58,err_y.59,err_y.60,err_y.61,err_y.62,err_y.63,err_y.64,err_y.65,err_y.66,err_y.67,err_y.68,err_y.69,err_y.70,err_y.71,err_y.72,err_y.73,err_y.74,err_y.75,err_y.76,err_y.77,err_y.78,err_y.79,err_y.80,err_y.81,err_y.82,err_y.83,err_y.84,err_y.85,err_y.86,err_y.87,err_y.88,err_y.89,err_y.90,err_y.91,err_y.92,err_y.93,err_y.94,err_y.95,err_y.96,err_y.97,err_y.98,err_y.99,err_y.100,err_y.101,err_y.102,err_y.103,err_y.104,err_y.105,err_y.106,err_y.107,err_y.108,err_y.109,err_y.110,err_y.111,err_y.112,err_y.113,err_y.114,err_y.115,err_y.116,err_y.117,err_y.118,err_y.119,err_y.120,lprior,b_y_Intercept,b_x_Intercept
# Adaptation terminated
# Step size = 0.218492
# Diagonal elements of inverse mass matrix:
# 0.122828, 0.244026, 0.848664, 0.66935, 0.766211, 0.811975, 0.817801, 0.961476, 0.729233, 0.848421, 0.786851, 0.801005, 0.900192, 0.621788, 0.990667, 0.906626, 0.874092, 0.73922, 0.836076, 0.680942, 0.706294, 0.755368, 0.770698, 0.838973, 0.705393, 0.661735, 0.869322, 0.775615, 0.650306, 0.715382, 0.732453, 0.75586, 0.883746, 0.67779, 0.898631, 0.856932, 0.719941, 0.784232, 0.767654, 0.795452, 0.698716, 0.786072, 0.73978, 0.832535, 0.893895, 0.700336, 0.806878, 0.780712, 0.666801, 0.757456, 0.88861, 0.869669, 0.936376, 0.836481, 0.868344, 0.831486, 0.92404, 0.684726, 0.665646, 0.776686, 0.784176, 0.792049, 0.806565, 0.883773, 0.723602, 0.869772, 0.874017, 0.947696, 0.952744, 0.790636, 0.690377, 0.702478, 0.767187, 0.784976, 0.870496, 0.69528, 0.681562, 0.830652, 0.762896, 0.88727, 0.764968, 0.772403, 0.791192, 0.723152, 0.790944, 0.742497, 0.845612, 0.692452, 0.776727, 0.757566, 0.871229, 0.688976, 0.669758, 0.675112, 0.616424, 0.780234, 0.823831, 0.743528, 0.876187, 0.910796, 0.6101, 0.868372, 0.718671, 0.679049, 0.706963, 0.782413, 0.900419, 0.931652, 0.746712, 0.76355, 0.812727, 0.727936, 0.823858, 0.827497, 0.782007, 0.907921, 0.719151, 0.784897, 0.716639, 0.84914, 0.718661, 0.844397, 0.337199, 2.46711, 0.720449, 0.842764, 0.759494, 0.00755867, 0.00550434, 1.23689, 1.72102, 0.953374, 1.40838, 1.77836, 1.16333, 1.55458, 1.21874, 0.97592, 1.43856, 1.60745, 1.24547, 0.992682, 1.48319, 1.07142, 1.14299, 1.60777
-413.576,0.996343,0.218492,4,15,0,483.405,-0.0608994,1.54352,-0.240892,1.42382,-2.36939,-0.504538,0.080902,0.224879,0.408302,-0.511448,-0.441592,-0.874812,1.00976,0.475616,0.209187,2.07796,0.448322,-0.120269,0.197947,-1.5284,-0.0802986,-2.24498,-0.640334,-0.87488,0.0269912,-0.589829,-1.65214,-0.99091,-0.14348,-0.234429,0.278793,0.429516,0.574722,0.964865,0.285367,0.434697,0.911298,0.39589,0.808467,-0.927019,-0.151692,0.262888,1.13735,-2.89826,0.279415,-1.06762,2.3864,-0.0527222,-0.179733,0.0747831,-0.702003,-0.829294,-0.931909,-0.647332,-0.674438,-0.552288,-1.85421,0.0667151,-0.2161,0.990717,-0.917246,2.08007,-0.157421,0.0148419,1.05297,0.0767128,0.0875406,-0.812545,1.20123,0.671251,-0.77754,1.01192,0.0802024,0.694149,1.10453,0.0108069,0.401347,-1.57235,0.828126,-0.473903,-0.081783,0.733811,0.916846,-1.5883,0.512163,0.395604,-1.55197,0.929371,-1.80633,-0.671042,0.957287,0.207026,0.968982,1.75011,-0.755077,0.933807,-0.695093,1.19574,-0.12967,0.21413,-1.23563,-0.672866,1.68759,0.275576,-0.663984,0.550744,-0.476228,-0.0813201,0.91829,0.279724,-1.7665,-0.997093,0.627563,-0.50301,-1.88609,0.642511,-0.691763,-1.49964,-0.0232168,1.742,-0.830947,-0.0854549,1.62937,0.569747,-1.35867,0.445796,0.589162,0.088658,0.901245,-1.44927,-1.76898,-1.01681,-1.59318,-1.16338,-1.54846,-1.27482,-1.7394,-1.84121,-1.157,-1.67187,-1.0412,-1.30595,-1.18201,-2.01943,-1.0312,-1.33776,-0.392502,2.31993,-3.86062,-0.82208,0.131819,0.366412,0.665276,-0.833339,-0.719517,-1.42539,1.64528,0.774955,0.340844,3.38577,0.730483,-0.195964,0.322529,-2.49033,-0.130836,-3.6579,-1.04334,-1.4255,0.0439786,-0.96105,-2.69195,-1.61456,-0.233783,-0.381972,0.454257,0.699842,0.936435,1.57212,0.46497,0.708283,1.48484,0.645052,1.31729,-1.51046,-0.247162,0.428342,1.85317,-4.72235,0.45527,-1.73954,3.88834,-0.085904,-0.292852,0.12185,-1.14382,-1.35123,-1.51843,-1.05474,-1.09891,-0.899882,-3.0212,0.108704,-0.352108,1.61425,-1.49453,3.3892,-0.256497,0.0241829,1.71568,0.124994,0.142636,-1.32394,1.95726,1.09372,-1.2669,1.64879,0.130679,1.13103,1.79969,0.0176084,0.653943,-2.56195,1.34933,-0.772164,-0.133255,1.19565,1.49388,-2.58793,0.834503,0.644585,-2.52874,1.51429,-2.94319,-1.09338,1.55978,0.337322,1.57883,2.85159,-1.2303,1.52152,-1.13256,1.9483,-0.211281,0.348897,-2.0133,-1.09635,2.74971,0.449016,-1.08188,0.897367,-0.775952,-0.132501,1.49624,0.455774,-2.87829,-1.62463,1.02253,-0.81959,-3.07314,1.04689,-1.12714,-2.44347,-0.0378287,2.83837,-1.35392,-0.139238,-6.65829,-0.0608994,0.088658
-408.15,0.931989,0.218492,4,15,0,482.066,0.266916,1.01298,-0.307063,0.264354,-2.85361,-0.950901,0.776616,2.00358,-0.153809,-1.38723,-0.443609,-1.3377,0.496529,-0.473096,-0.272345,0.317405,1.23626,0.0579132,0.93263,-0.59778,2.59857,-0.553141,-0.393683,-0.0222833,-0.405446,0.423454,-1.13446,0.457241,0.39561,0.480071,-0.136021,2.95984,0.939145,0.183513,0.0165275,1.04529,0.941037,-0.236893,0.344439,0.636035,-0.970749,1.26049,-0.565774,-0.868778,0.289374,0.948848,1.17319,0.405351,1.02628,-0.562732,-0.36826,-0.982209,-1.53325,-0.994867,-0.0501837,0.253444,-0.519313,-0.977712,0.0485459,-0.152642,-1.17687,1.16269,-0.00268933,0.0942452,-1.43762,0.724927,-0.549769,1.3334,0.399351,1.43555,1.38532,0.52244,1.19898,0.531374,0.137387,-2.1758,2.64366,0.122003,0.832552,0.489203,0.728375,-0.803403,0.536491,-0.718787,0.50042,-0.771572,-1.50308,-1.24588,-1.73228,1.18206,0.995752,-1.16055,1.51552,0.897803,0.903515,0.769594,-0.469618,1.24527,-0.135275,1.33304,1.40098,-0.0163467,0.833729,-2.60767,-0.737099,0.462163,-0.379111,-0.692058,-0.152461,0.710604,0.151415,0.130366,0.13765,-1.16941,-2.64308,-0.248563,1.92674,-0.439623,-1.0505,-0.337914,0.850722,0.642131,1.99521,0.719828,0.467154,0.308748,-0.456723,0.0673712,1.04266,-1.5255,-1.29686,-1.50853,-1.54185,-1.79645,-1.09233,-1.6754,-1.68524,-1.70484,-1.45035,-1.61035,-1.10685,-1.04137,-2.39451,-1.29607,-1.32068,-2.49757,-0.612657,0.527443,-5.69355,-1.89725,1.54952,3.99756,-0.306881,-2.76783,-0.885095,-2.669,0.990682,-0.943928,-0.543386,0.633291,2.46661,0.115549,1.8608,-1.1927,5.1847,-1.10363,-0.785482,-0.04446,-0.808952,0.844881,-2.26348,0.912294,0.789327,0.957844,-0.271392,5.9055,1.87379,0.366148,0.032976,2.08558,1.87757,-0.472652,0.687229,1.26903,-1.93685,2.51495,-1.12884,-1.7334,0.577363,1.89315,2.34076,0.808761,2.04765,-1.12277,-0.734757,-1.95972,-3.05917,-1.98497,-0.100127,0.505675,-1.03614,-1.95074,0.0968595,-0.304554,-2.3481,2.31981,-0.00536578,0.188039,-2.86837,1.44638,-1.09691,2.66041,0.79679,2.86423,2.764,1.04238,2.39222,1.0602,0.274115,-4.34119,5.27466,0.243422,1.66112,0.976065,1.45326,-1.60296,1.07041,-1.43413,0.998444,-1.53945,-2.99897,-2.4858,-3.45627,2.35847,1.98674,-2.31554,3.02378,1.79131,1.8027,1.53551,-0.936987,2.48458,-0.269902,2.65971,2.79526,-0.0326152,1.66347,-5.20285,-1.47067,0.922113,-0.756407,-1.3808,-0.304193,1.41781,0.302106,0.260107,0.274641,-2.33322,-5.27351,-0.495937,3.84425,-0.877142,-2.09598,-0.674211,1.69737,1.28119,-7.37823,0.266916,0.0673712
-417.692,0.742166,0.218492,4,15,0,482.817,-0.31485,1.35322,-0.151784,0.645163,-1.59631,-0.541259,1.37126,1.14096,0.389158,-1.80203,-0.109555,-0.122672,1.18196,-0.678466,0.537827,1.23318,0.418428,-0.334974,0.595422,-0.0612067,2.16426,-0.781081,0.107372,0.151242,0.393793,-0.463049,-1.85717,-0.404107,0.401046,0.0340323,-0.785496,3.3914,1.30385,0.0439702,-0.776616,1.21135,1.0838,-0.108479,0.506958,-0.490614,-1.09143,2.58189,0.397266,-1.63177,0.473556,-0.262391,2.58067,-0.307137,0.400672,-1.78747,-0.320027,-1.34377,-1.6403,-0.967298,-0.194514,-0.537624,-0.157576,0.540989,0.330587,-0.293828,-0.98578,-0.0885807,-0.109811,0.507781,0.611001,0.188991,0.967449,1.19606,0.53911,0.738007,1.62527,0.00546853,0.963385,1.15569,0.616907,-1.9664,1.84418,-0.276509,-0.418688,-0.0304513,1.79401,-0.343205,1.32526,0.443168,0.382579,-0.118575,-1.22707,0.67356,-1.23393,0.863089,0.0375842,-1.38446,1.60491,0.888978,0.874223,-0.240389,0.329438,0.0911075,-0.0738784,0.823205,1.44147,-0.815735,0.470507,-2.38066,-0.310633,-0.363645,0.620874,-1.06237,1.1924,0.696806,-0.256605,-0.531433,0.341451,-2.04832,-1.92008,-1.4556,1.83557,-0.544269,-2.02885,-1.0132,0.765993,-1.21161,1.35268,0.645767,0.0347213,0.74752,0.0353252,0.0206846,1.01363,-2.0337,-1.19595,-1.50637,-1.22484,-1.8535,-1.05007,-2.47692,-1.29438,-1.50711,-1.32886,-1.50696,-1.05165,-1.02781,-1.08503,-1.38522,-1.19544,-1.90712,-0.205316,0.872701,-2.1593,-0.732152,1.85488,1.54336,0.526407,-2.43758,-0.148193,-0.165937,1.59882,-0.91775,0.72751,1.66811,0.566001,-0.453114,0.805417,-0.0827934,2.92755,-1.05656,0.14524,0.204582,0.532678,-0.626359,-2.51216,-0.546629,0.542489,0.0460349,-1.06253,4.58749,1.76369,0.0594777,-1.05052,1.63857,1.46604,-0.146738,0.685754,-0.663645,-1.47635,3.49248,0.537376,-2.20727,0.640572,-0.354932,3.49083,-0.415459,0.541983,-2.41788,-0.432895,-1.8177,-2.2188,-1.30845,-0.263116,-0.727235,-0.213151,0.731787,0.447179,-0.397456,-1.33345,-0.119822,-0.14854,0.686867,0.826491,0.255645,1.30865,1.61789,0.729245,0.99829,2.19847,0.0073972,1.30316,1.56329,0.83448,-2.65992,2.49459,-0.374029,-0.566353,-0.041191,2.42672,-0.464247,1.79265,0.599466,0.517508,-0.160394,-1.65984,0.911114,-1.66912,1.16749,0.0508396,-1.87274,2.17094,1.20251,1.18255,-0.32517,0.445625,0.12324,-0.0999341,1.11354,1.94985,-1.10343,0.636448,-3.22028,-0.420188,-0.491896,0.839846,-1.43705,1.61294,0.942558,-0.347106,-0.71886,0.461876,-2.77073,-2.59725,-1.96897,2.48295,-0.736223,-2.7444,-1.37054,1.03615,-1.63892,-6.28662,-0.31485,0.0206846
-411.194,0.99353,0.218492,4,15,0,483.95,0.426507,1.25738,-1.32162,0.935293,0.380594,-0.989941,0.670625,-0.320533,0.410372,0.442114,-0.819893,0.682493,-0.69812,-0.64188,0.379863,-0.112525,-0.232928,0.887803,0.97604,1.25104,-1.00275,-0.431047,-1.29231,-1.82151,-0.0205457,-0.797282,1.84703,-0.159793,0.803801,1.04861,-0.645427,-1.96906,-0.194686,0.313621,1.77783,0.928901,0.238158,1.22789,0.19497,1.56515,-0.247103,-1.10445,-0.549978,-0.35837,-1.70692,-0.941951,-1.53026,-0.774989,0.52651,0.0734639,-0.620571,0.57269,0.155292,-0.70862,-1.1783,-0.867483,-1.16828,-0.992458,-1.59038,0.281947,-0.55096,0.0472451,0.189688,0.67527,-1.6098,0.295003,0.231913,-0.317592,0.139111,0.442415,-0.761079,0.630506,0.0232297,0.179971,-0.070467,-0.48571,-0.154863,0.792149,1.7331,0.492156,-1.67013,1.52097,-1.3049,-1.64136,-0.616091,0.491793,-0.344866,-1.38547,0.136364,0.22113,1.39928,1.60723,-2.43142,-0.261389,-0.158604,1.25405,1.15559,1.74031,0.483472,0.0421187,-1.50439,0.997403,1.09763,0.974809,-0.320457,-1.00342,-1.37091,-0.546601,0.619897,-0.523867,-1.22765,-0.553459,-1.42916,0.674788,-0.72179,-0.335386,-1.6528,-1.01567,0.126867,0.603556,0.407926,2.32001,1.41587,0.724174,-0.272523,-0.6605,0.552522,0.0531413,0.952463,-1.09147,-2.02463,-1.98322,-2.35376,-1.16379,-1.31553,-1.27753,-1.9468,-1.54966,-1.07213,-1.44105,-1.82453,-1.55588,-2.72735,-1.30274,-2.45077,-1.49651,-1.87124,1.32426,0.538873,-1.40163,0.94952,-0.453835,0.581035,0.625977,-1.16086,0.966324,-0.988449,-0.908822,0.537838,-0.159321,-0.329797,1.25702,1.38195,1.77131,-1.41977,-0.610308,-1.82975,-2.57903,-0.0290901,-1.12885,2.61517,-0.226247,1.13808,1.48469,-0.913844,-2.78794,-0.275651,0.444048,2.51719,1.31521,0.337202,1.73854,0.276053,2.21605,-0.349867,-1.56376,-0.778699,-0.507406,-2.41678,-1.33368,-2.16665,-1.09729,0.745472,0.104016,-0.87865,0.810857,0.219874,-1.00332,-1.66833,-1.22825,-1.65414,-1.4052,-2.25178,0.399201,-0.780089,0.066893,0.268574,0.956097,-2.27928,0.417687,0.328359,-0.44967,0.196964,0.626404,-1.07759,0.892717,0.0328903,0.254816,-0.0997723,-0.687704,-0.219266,1.12158,2.45385,0.696831,-2.36469,2.1535,-1.84757,-2.32397,-0.872307,0.696317,-0.488287,-1.96165,0.193074,0.313092,1.9812,2.27563,-3.44259,-0.370094,-0.224563,1.77558,1.63616,2.46405,0.684535,0.0596348,-2.13003,1.4122,1.55411,1.38021,-0.453727,-1.42072,-1.94104,-0.773918,0.877696,-0.741729,-1.7382,-0.783629,-2.02351,0.955414,-1.02196,-0.474864,-2.34015,-1.43806,0.179627,0.854559,0.577571,3.28484,-6.38472,0.426507,0.0531413
-411.507,0.965664,0.218492,4,15,0,486.736,-0.269735,1.14476,-0.42274,-0.363845,-0.0322468,-0.15077,0.601256,0.205966,0.986835,-1.70548,-1.04601,-0.357398,0.650423,-0.541016,-0.610696,-0.464607,0.328832,-0.479353,1.23846,0.273113,1.62371,0.717665,0.346224,0.438595,-0.184034,-0.665933,0.107151,-0.366103,-0.256563,0.421344,0.107984,2.71144,-0.584577,1.36201,-0.216459,0.591606,2.00866,-0.739617,0.331959,-0.0804323,-1.47571,2.99069,-0.750522,-0.209742,0.444433,0.381014,1.55651,-1.05875,-0.926202,-0.560937,0.614794,-2.18671,-0.0979451,0.692568,-0.343471,0.519164,0.0530925,-1.81304,-0.487736,1.40414,-0.964602,-0.6517,1.19679,0.568381,-0.473237,0.572931,0.960053,0.968504,0.365485,1.50111,0.787765,0.751385,0.36128,0.808998,2.13148,0.211346,0.263327,-0.017012,-1.00605,0.89157,0.438838,0.57218,0.839271,1.65279,-1.28263,-0.465406,1.02143,-2.43394,0.130208,-0.113379,0.870988,0.434136,-0.370608,0.0600201,0.374147,-0.600561,0.189856,-0.88137,1.00114,0.368145,0.106144,-1.84563,-0.767645,-1.45079,-0.283197,0.526013,-0.319323,0.460456,1.01556,0.312253,-0.171492,0.571911,-1.04382,-0.941494,-1.44691,-1.468,1.14088,-0.19864,-2.02663,-0.66616,-0.672532,-0.616855,1.09396,0.472395,-0.548274,-0.527918,-1.96559,0.0127204,1.06188,-1.59602,-1.16969,-1.26591,-1.10459,-1.26301,-2.13207,-1.51474,-1.2793,-1.60074,-1.11661,-1.6148,-1.13318,-1.22383,-1.07187,-1.67846,-1.10061,-1.5077,-0.462462,-0.398033,-0.0352768,-0.164937,0.657752,0.225319,1.07956,-1.86574,-1.14429,-0.390981,0.711539,-0.591851,-0.668079,-0.508263,0.35973,-0.524395,1.35483,0.298775,1.77628,0.785099,0.378756,0.479806,-0.201326,-0.728506,0.117219,-0.400503,-0.280671,0.460934,0.11813,2.96621,-0.639505,1.48999,-0.236799,0.647195,2.1974,-0.809114,0.363151,-0.0879899,-1.61437,3.27171,-0.821043,-0.22945,0.486193,0.416815,1.70277,-1.15823,-1.01323,-0.613645,0.672562,-2.39218,-0.107148,0.757643,-0.375745,0.567947,0.0580813,-1.9834,-0.533566,1.53608,-1.05524,-0.712936,1.30924,0.621788,-0.517704,0.626766,1.05026,1.05951,0.399828,1.64215,0.861786,0.821987,0.395227,0.885014,2.33176,0.231205,0.28807,-0.0186105,-1.10058,0.975344,0.480073,0.625943,0.918131,1.80809,-1.40315,-0.509137,1.11741,-2.66264,0.142443,-0.124032,0.952829,0.474928,-0.405431,0.0656598,0.409303,-0.656991,0.207696,-0.964186,1.09521,0.402737,0.116117,-2.01905,-0.839776,-1.58711,-0.309807,0.575439,-0.349328,0.503722,1.11099,0.341593,-0.187606,0.62565,-1.1419,-1.02996,-1.58287,-1.60594,1.24808,-0.217305,-2.21706,-0.728754,-0.735726,-0.674816,-5.96732,-0.269735,0.0127204
-395.815,0.969514,0.218492,4,15,0,472.915,0.2361,2.29363,-0.891153,1.37078,-0.296293,-0.968408,-0.469997,0.789798,0.292714,-0.125262,-0.778545,1.13847,0.273776,-0.487966,0.789934,0.790577,0.577766,-0.774581,1.19958,-0.914641,1.89969,-1.26935,-0.52806,-0.351323,0.776687,-1.52261,0.141764,2.02474,-0.392005,0.783201,-0.380227,-0.158067,-0.221364,0.217533,1.43961,1.27602,1.23283,0.657564,0.785366,-0.183892,0.784454,0.114723,0.711397,-1.72652,-1.44215,-0.438716,0.114269,-0.941073,0.620407,-0.14592,-1.66569,0.308685,0.39021,-1.08757,-1.71395,-1.63088,-0.742926,-1.09432,0.384723,-0.124061,-0.36394,0.821948,1.07138,0.501107,-0.615325,0.0371434,-0.0847835,-1.16697,-0.704775,0.57366,-0.477861,-0.150225,1.25281,0.334561,-0.23096,-1.09261,0.504762,0.46502,1.88299,0.835167,-0.642925,0.347106,-0.102791,-1.37975,0.0134918,0.585275,-1.03118,-0.359969,-0.0443691,0.748076,1.89015,1.064,-1.35378,1.89405,0.512828,1.13322,0.316791,1.28928,-0.816304,1.19844,-1.15819,-0.700319,2.74879,0.0611988,0.195294,-1.51605,-0.244585,-1.49916,0.698647,-0.254835,-1.8583,-1.20591,-0.447927,-0.22197,-0.369535,-1.41272,1.69756,-1.2393,-0.62412,-0.242528,2.14757,0.301412,2.28259,0.401935,-0.986783,-0.520512,0.143346,0.00970888,0.887494,-1.21994,-2.14755,-2.13687,-1.06405,-1.10224,-1.1735,-1.74817,-1.07378,-1.56945,-1.23191,-1.56609,-2.54611,-1.10604,-1.8357,-1.42126,-1.14472,-1.818,-2.03414,3.12892,-0.676317,-2.21048,-1.07281,1.80279,0.668146,-0.285922,-1.7771,2.59865,0.62492,-1.11383,1.8031,1.80457,1.3188,-1.76805,2.73816,-2.08775,4.33622,-2.8974,-1.20535,-0.801928,1.77286,-3.4755,0.323591,4.62167,-0.894787,1.78773,-0.867904,-0.360803,-0.505284,0.49654,3.28604,2.91264,2.81405,1.50095,1.79267,-0.419751,1.79059,0.261867,1.62383,-3.94095,-3.29184,-1.00141,0.26083,-2.14809,1.41614,-0.333076,-3.80209,0.704603,0.890691,-2.48249,-3.91225,-3.72265,-1.6958,-2.49789,0.878166,-0.283181,-0.830727,1.87617,2.44553,1.14382,-1.40454,0.0847833,-0.193526,-2.66372,-1.60872,1.30943,-1.09076,-0.342903,2.85966,0.763667,-0.527188,-2.49398,1.15217,1.06145,4.29809,1.90635,-1.46754,0.792301,-0.23463,-3.1494,0.0307963,1.33594,-2.35378,-0.821663,-0.101277,1.70755,4.31444,2.42867,-3.09013,4.32334,1.17058,2.58667,0.723106,2.94289,-1.86329,2.73556,-2.64368,-1.59854,6.27438,0.139692,0.445777,-3.46052,-0.558289,-3.42198,1.59473,-0.581685,-4.24174,-2.7526,-1.02243,-0.506668,-0.843499,-3.22467,3.87484,-2.82882,-1.42461,-0.553593,4.90204,0.688002,-7.94224,0.2361,0.00970888
