# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=2356
# chain_id=2
# iter=3000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=300
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/demo_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,ar.1,sigma,nu,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,b_Intercept
# Adaptation terminated
# Step size = 0.0587543
# Diagonal elements of inverse mass matrix:
# 0.00292426, 13.1435, 0.909611, 0.349524, 0.142105, 0.111903, 0.356565, 0.463937, 0.809185, 0.99902, 0.1049, 0.0533536, 0.133437, 0.28859, 0.290873, 0.46698, 0.545069, 0.727467, 0.767489, 0.212406, 0.243933, 0.0163587, 0.234439
-192.752,0.885264,0.0587543,6,63,0,208.059,-0.0541301,-11.8976,-1.08059,-0.862339,-1.63165,-0.445084,1.06835,-1.47346,1.1979,-0.0688853,2.86592,-0.108722,0.550694,0.530125,-0.571445,0.162815,0.208676,-0.0367709,-0.087845,0.207167,0.325175,0.424313,4.92149,-3.09689,-2.47139,-4.67618,-1.27558,3.06179,-4.22282,3.4331,-0.19742,-0.0225237,0.114086,0.109824,-0.118385,0.0337299,0.0432308,-0.00761772,-0.0181986,-0.0541301
-194.632,0.964263,0.0587543,6,127,0,207.044,-0.0979455,-7.90509,-0.794519,-0.559243,-0.988203,-0.357036,0.652073,-2.7254,1.16508,-0.766239,2.5522,-0.471672,0.395559,0.586067,-0.248788,0.105346,0.666799,0.111562,0.248264,0.160408,0.212945,0.433838,2.20602,-2.02777,-1.4273,-2.52209,-0.911227,1.66422,-6.95577,2.97352,-1.9556,-0.0756601,0.0634509,0.09401,-0.0399075,0.0168984,0.10696,0.0178955,0.0398235,-0.0979455
-191.16,0.994626,0.0587543,6,63,0,205.216,-0.0827355,-8.96336,1.48574,-0.772784,-1.4069,-0.712288,0.0568285,-2.40366,-1.37968,1.63125,2.21338,-0.195421,0.177358,0.487751,-0.515191,0.532681,1.06028,0.170634,-0.546165,0.305758,0.410119,0.371822,2.96785,3.2885,-1.71046,-3.11399,-1.57656,0.125783,-5.3202,-3.05374,3.61058,-0.0597513,0.0542286,0.149134,-0.157524,0.162871,0.324189,0.0521727,-0.166994,-0.0827355
-184.769,0.923522,0.0587543,6,63,0,200.852,-0.073488,-8.06009,1.32133,-0.821646,-0.598137,-0.812858,0.759558,-1.72843,0.506624,0.244328,4.2121,-0.301901,0.542411,1.01257,-0.187154,0.312991,1.31225,0.931128,0.374435,0.185465,0.210439,0.40867,2.59286,5.56559,-3.46086,-2.51942,-3.42384,3.19934,-7.28033,2.13395,1.02913,-0.0559919,0.100598,0.187795,-0.0347104,0.0580488,0.243376,0.172691,0.0694444,-0.073488
-188.794,0.578071,0.0587543,5,31,0,198.098,-0.080744,-8.04447,1.00499,-0.748653,-0.709783,-0.768711,0.575797,-2.05954,0.122222,2.5437e-05,4.50243,-0.16404,0.479119,0.97972,-0.78703,0.505442,1.76199,1.57802,1.49563,0.183098,0.114323,0.371181,3.50181,4.52489,-3.37075,-3.19574,-3.46106,2.59248,-9.27291,0.550294,0.000114528,-0.0300354,0.087726,0.179385,-0.144104,0.0925456,0.322618,0.288932,0.273847,-0.080744
-195.172,0.968514,0.0587543,6,63,0,209.407,-0.15701,-7.20753,1.67353,-0.345885,-0.637298,-0.486292,0.899957,-1.37984,0.324233,2.83596,4.31704,0.101795,0.893607,1.23086,-0.369292,1.4527,1.56352,-1.10631,0.0466456,0.107291,0.199568,0.313065,1.3946,7.2247,-1.4932,-2.75124,-2.09934,3.88515,-5.95684,1.39973,12.2429,0.0109217,0.0958759,0.13206,-0.0396218,0.155862,0.167752,-0.118698,0.00500466,-0.15701
